UUID,Name,OU,OU Type,Region Country,Default Country,Default L1,Default L2,Zoom,Lat,Lon,Projection,LatMin,LatMax,LonMin,LonMax,Marker,WMS Browser
SITE_DEFAULT,Default,,,,CA,,,2,71,-86,900913,40,85,-150,-50,,
,CA,,,CA,CA,,,2,71,-86,900913,40,85,-150,-50,,
